model,valence,field,d_mean_ai_minus_field,d_prompt_ci_lo,d_prompt_ci_hi
Qwen/Qwen3-Next-80B-A3B-Instruct,negative,AVERAGE_ALL,26.177643108267358,24.604748698827294,27.75053751770742
deepseek-ai/DeepSeek-R1-Distill-Qwen-32B,positive,Archaeology,46.17921699909932,37.064777347170505,55.29365665102813
deepseek-ai/DeepSeek-R1-Distill-Qwen-32B,positive,Biology,-722.7265985449983,-5172.900672206151,3727.4474751161542
deepseek-ai/DeepSeek-R1-Distill-Qwen-32B,positive,Chemistry,66.58262646814246,54.73689118408832,78.42836175219661
deepseek-ai/DeepSeek-R1-Distill-Qwen-32B,positive,Civil_Engineering,-3.162237746224585,-7.403161571973751,1.0786860795245805
deepseek-ai/DeepSeek-R1-Distill-Qwen-32B,positive,Computer_Science,2.674554684621156,-0.5247116796111921,5.873821048853504
deepseek-ai/DeepSeek-R1-Distill-Qwen-32B,positive,Earth_Science,-3.079646311960377,-4.8441970176920055,-1.3150956062287487
deepseek-ai/DeepSeek-R1-Distill-Qwen-32B,positive,Economics,153.76464131760198,117.42742823215849,190.10185440304548
deepseek-ai/DeepSeek-R1-Distill-Qwen-32B,positive,Electrical_Engineering,0.18626794342623393,-2.6012280082087664,2.9737638950612344
deepseek-ai/DeepSeek-R1-Distill-Qwen-32B,positive,Literature,37.82440757260137,30.83866496103497,44.81015018416778
deepseek-ai/DeepSeek-R1-Distill-Qwen-32B,positive,Mathematics,39.35984687737818,32.665900446875526,46.05379330788084
deepseek-ai/DeepSeek-R1-Distill-Qwen-32B,positive,Mechanical_Engineering,3.8284162256821572,0.3011484695553106,7.355683981809004
deepseek-ai/DeepSeek-R1-Distill-Qwen-32B,positive,Physics,62.42761920493824,53.01005548778498,71.8451829220915
deepseek-ai/DeepSeek-R1-Distill-Qwen-32B,positive,Statistics,47.47885268462714,38.62049818516718,56.337207184087106
deepseek-ai/DeepSeek-R1-Distill-Qwen-32B,positive,AVERAGE_ALL,36.63746341375915,30.22666219061269,43.048264636905614
deepseek-ai/DeepSeek-R1-Distill-Qwen-32B,negative,Archaeology,57.20766798755833,50.11703544418125,64.29830053093542
deepseek-ai/DeepSeek-R1-Distill-Qwen-32B,negative,Biology,612.2048064645311,-6127.9899779592,7352.3995908882625
deepseek-ai/DeepSeek-R1-Distill-Qwen-32B,negative,Chemistry,75.25631791678066,63.76044241767825,86.75219341588307
deepseek-ai/DeepSeek-R1-Distill-Qwen-32B,negative,Civil_Engineering,-0.3542617048832474,-4.972057371462066,4.263533961695572
deepseek-ai/DeepSeek-R1-Distill-Qwen-32B,negative,Computer_Science,3.4667268590226628,0.5272220003132202,6.406231717732105
deepseek-ai/DeepSeek-R1-Distill-Qwen-32B,negative,Earth_Science,-1.789389031084864,-3.6360505952248072,0.05727253305507918
deepseek-ai/DeepSeek-R1-Distill-Qwen-32B,negative,Economics,172.5516775810238,129.26095331221092,215.84240184983668
deepseek-ai/DeepSeek-R1-Distill-Qwen-32B,negative,Electrical_Engineering,1.1914423928628601,-0.7939578477678637,3.176842633493584
deepseek-ai/DeepSeek-R1-Distill-Qwen-32B,negative,Literature,42.86640347343228,35.39942247527139,50.33338447159316
deepseek-ai/DeepSeek-R1-Distill-Qwen-32B,negative,Mathematics,43.172833877103336,34.7421275640325,51.60354019017417
deepseek-ai/DeepSeek-R1-Distill-Qwen-32B,negative,Mechanical_Engineering,6.868236819005759,3.3581400204156444,10.378333617595873
deepseek-ai/DeepSeek-R1-Distill-Qwen-32B,negative,Physics,66.65335567632745,57.05132502598892,76.25538632666598
deepseek-ai/DeepSeek-R1-Distill-Qwen-32B,negative,Statistics,50.66470303052036,40.988260331938854,60.34114572910186
deepseek-ai/DeepSeek-R1-Distill-Qwen-32B,negative,AVERAGE_ALL,41.04923724990951,34.88803299309812,47.2104415067209
dphn/dolphin-2.9.1-yi-1.5-34b,positive,Archaeology,18.533909184340523,16.122519084932843,20.945299283748202
dphn/dolphin-2.9.1-yi-1.5-34b,positive,Biology,51.9229392268792,48.52299153460598,55.322886919152424
dphn/dolphin-2.9.1-yi-1.5-34b,positive,Chemistry,60.49608906424545,56.17129069933197,64.82088742915893
dphn/dolphin-2.9.1-yi-1.5-34b,positive,Civil_Engineering,-1.9464462138805376,-2.5515406756684476,-1.3413517520926277
dphn/dolphin-2.9.1-yi-1.5-34b,positive,Computer_Science,10.19041182124646,8.835096866441773,11.545726776051147
dphn/dolphin-2.9.1-yi-1.5-34b,positive,Earth_Science,-2.173889951319363,-2.827338724685564,-1.5204411779531617
dphn/dolphin-2.9.1-yi-1.5-34b,positive,Economics,47.66546538743234,43.91904541372847,51.411885361136214
dphn/dolphin-2.9.1-yi-1.5-34b,positive,Electrical_Engineering,5.664047885560626,4.837165914062548,6.4909298570587035
dphn/dolphin-2.9.1-yi-1.5-34b,positive,Literature,38.64117292931083,36.01681204893927,41.26553380968238
dphn/dolphin-2.9.1-yi-1.5-34b,positive,Mathematics,46.76345270262065,43.38682361026679,50.140081794974506
dphn/dolphin-2.9.1-yi-1.5-34b,positive,Mechanical_Engineering,-0.4778047777054262,-0.9241859461511828,-0.03142360925966958
dphn/dolphin-2.9.1-yi-1.5-34b,positive,Physics,66.03411111324333,61.06400881446839,71.00421341201826
dphn/dolphin-2.9.1-yi-1.5-34b,positive,Statistics,62.29880288854497,58.27623801072703,66.32136776636291
dphn/dolphin-2.9.1-yi-1.5-34b,positive,AVERAGE_ALL,25.892277168349295,24.08044623965972,27.70410809703887
dphn/dolphin-2.9.1-yi-1.5-34b,negative,Archaeology,19.950263523233904,19.168745430606705,20.731781615861102
dphn/dolphin-2.9.1-yi-1.5-34b,negative,Biology,54.31900388164657,51.85389352337052,56.78411423992262
dphn/dolphin-2.9.1-yi-1.5-34b,negative,Chemistry,63.144146849059155,59.8409504632571,66.44734323486121
dphn/dolphin-2.9.1-yi-1.5-34b,negative,Civil_Engineering,-0.6831514640455038,-1.1529433571045007,-0.21335957098650687
dphn/dolphin-2.9.1-yi-1.5-34b,negative,Computer_Science,11.735758440039643,11.152938416976511,12.318578463102774
dphn/dolphin-2.9.1-yi-1.5-34b,negative,Earth_Science,-3.0496326575929746,-3.6433686066246755,-2.4558967085612737
dphn/dolphin-2.9.1-yi-1.5-34b,negative,Economics,49.76225617357876,47.395052168377454,52.12946017878007
dphn/dolphin-2.9.1-yi-1.5-34b,negative,Electrical_Engineering,6.479438174287642,5.799095779448689,7.159780569126595
dphn/dolphin-2.9.1-yi-1.5-34b,negative,Literature,40.4868229965994,38.753520903930095,42.220125089268706
dphn/dolphin-2.9.1-yi-1.5-34b,negative,Mathematics,48.985582124907275,46.69576529990894,51.27539894990561
dphn/dolphin-2.9.1-yi-1.5-34b,negative,Mechanical_Engineering,-0.15762104751926947,-0.5198999485037035,0.20465785346516446
dphn/dolphin-2.9.1-yi-1.5-34b,negative,Physics,69.03221123911621,65.41655064107061,72.6478718371618
dphn/dolphin-2.9.1-yi-1.5-34b,negative,Statistics,64.53455279310518,61.74528540492553,67.32382018128483
dphn/dolphin-2.9.1-yi-1.5-34b,negative,AVERAGE_ALL,27.199878819085804,26.150513083746,28.24924455442561
google/gemma-2-27b-it,positive,Archaeology,-1.5607839982543763,-2.3427420969132076,-0.778825899595545
google/gemma-2-27b-it,positive,Biology,8.965576145602679,7.7658769927203934,10.165275298484964
google/gemma-2-27b-it,positive,Chemistry,8.315537397093625,7.293143860828177,9.337930933359072
google/gemma-2-27b-it,positive,Civil_Engineering,-0.44831430975860204,-0.8416788820234067,-0.054949737493797335
google/gemma-2-27b-it,positive,Computer_Science,-1.9355492680882427,-2.261486408379662,-1.6096121277968232
google/gemma-2-27b-it,positive,Earth_Science,-1.8940216987135017,-2.2498105916150286,-1.5382328058119747
google/gemma-2-27b-it,positive,Economics,8.483864145134735,7.3356988963143275,9.632029393955143
google/gemma-2-27b-it,positive,Electrical_Engineering,-1.0183717460996087,-1.45705427661563,-0.5796892155835873
google/gemma-2-27b-it,positive,Literature,11.323656862437668,9.853938777788873,12.793374947086463
google/gemma-2-27b-it,positive,Mathematics,9.607793124664258,8.392003817071615,10.823582432256902
google/gemma-2-27b-it,positive,Mechanical_Engineering,-0.533560808622328,-0.8595111234741571,-0.2076104937704989
google/gemma-2-27b-it,positive,Physics,8.008630100230224,6.882833557377151,9.134426643083298
google/gemma-2-27b-it,positive,Statistics,7.905588643331226,6.744260837317815,9.066916449344637
google/gemma-2-27b-it,positive,AVERAGE_ALL,3.9845571700861884,3.3740319421337737,4.595082398038603
google/gemma-2-27b-it,negative,Archaeology,-0.684381853162854,-1.3761840878891816,0.007420381563473466
google/gemma-2-27b-it,negative,Biology,9.24581368779121,8.029036295783147,10.462591079799274
google/gemma-2-27b-it,negative,Chemistry,8.972346061920689,7.82413675900958,10.120555364831798
google/gemma-2-27b-it,negative,Civil_Engineering,0.4928971716148509,0.09937885544891883,0.886415487780783
google/gemma-2-27b-it,negative,Computer_Science,-1.5121934938125894,-1.8682364817979762,-1.1561505058272026
google/gemma-2-27b-it,negative,Earth_Science,-1.4711944379702886,-1.8630411376757618,-1.0793477382648153
google/gemma-2-27b-it,negative,Economics,8.97887398824852,7.7291627255183775,10.22858525097866
google/gemma-2-27b-it,negative,Electrical_Engineering,-0.4526195012513129,-0.9873346254482336,0.0820956229456078
google/gemma-2-27b-it,negative,Literature,11.78165387652443,10.370690433796039,13.192617319252822
google/gemma-2-27b-it,negative,Mathematics,10.112341606224712,8.847037897248274,11.37764531520115
google/gemma-2-27b-it,negative,Mechanical_Engineering,0.08517552310638139,-0.34690157375756653,0.5172526199703293
google/gemma-2-27b-it,negative,Physics,8.435969499181017,7.308724494242227,9.563214504119806
google/gemma-2-27b-it,negative,Statistics,8.27459878923671,7.202282430251763,9.346915148221658
google/gemma-2-27b-it,negative,AVERAGE_ALL,4.534382154228358,3.9481331768278496,5.120631131628866
google/gemma-3-27b-it,positive,Archaeology,10.229265306931019,9.06041906748675,11.398111546375288
google/gemma-3-27b-it,positive,Biology,8.503142182038355,6.834850007249088,10.171434356827621
google/gemma-3-27b-it,positive,Chemistry,8.003695900433303,6.426361166739634,9.581030634126973
google/gemma-3-27b-it,positive,Civil_Engineering,4.120347319161915,3.2618024338305656,4.978892204493265
google/gemma-3-27b-it,positive,Computer_Science,2.4955207033310116,1.6968208014000035,3.2942206052620198
google/gemma-3-27b-it,positive,Earth_Science,1.9218748609457077,0.9283333959914283,2.915416325899987
google/gemma-3-27b-it,positive,Economics,8.570867732308452,6.946295767539951,10.195439697076953
google/gemma-3-27b-it,positive,Electrical_Engineering,1.237135239598016,0.5476887903950417,1.9265816888009901
google/gemma-3-27b-it,positive,Literature,8.989145596373868,7.248482858480237,10.7298083342675
google/gemma-3-27b-it,positive,Mathematics,7.937337183067873,6.371744872092751,9.502929494042995
google/gemma-3-27b-it,positive,Mechanical_Engineering,1.7866154982923486,1.065375434450273,2.507855562134424
